custID,income,gender,marital,offers,sales,vp
750000,100,1,1,1,0,0.038764
750001,100,1,1,1,0,0.038764
750002,100,1,1,1,0,0.038764
750003,100,1,1,1,0,0.038764
750004,100,1,1,1,0,0.038764
750005,100,1,1,1,0,0.038764
750006,100,1,1,1,0,0.038764
750007,100,1,1,1,0,0.038764
750008,100,1,1,1,0,0.038764
750009,100,1,1,1,0,0.038764
750010,100,1,1,1,0,0.038764
750011,100,1,1,1,0,0.038764
750012,100,1,1,1,0,0.038764
750013,100,1,1,1,0,0.038764
750014,100,1,1,1,0,0.038764
750015,100,1,1,1,0,0.038764
750016,100,1,1,1,0,0.038764
750017,100,1,1,1,0,0.038764
750018,100,1,1,1,0,0.038764
750019,100,1,1,1,0,0.038764
750020,100,1,1,1,0,0.038764
750021,120,0,0,1,0,0.001727
750022,120,0,0,1,0,0.001727
750023,120,0,0,1,0,0.001727
750024,120,0,0,1,0,0.001727
750025,120,0,0,1,0,0.001727
750026,120,0,0,1,0,0.001727
750027,120,0,0,1,0,0.001727
750028,120,0,0,1,0,0.001727
750029,120,0,0,1,0,0.001727
750030,120,0,0,1,0,0.001727
750031,120,0,0,1,0,0.001727
750032,120,0,0,1,0,0.001727
750033,120,0,0,1,0,0.001727
750034,120,0,0,1,0,0.001727
750035,120,0,0,1,0,0.001727
750036,120,0,0,1,0,0.001727
750037,120,0,0,1,0,0.001727
750038,120,0,0,1,0,0.001727
750039,120,0,0,1,0,0.001727
750040,120,0,0,1,0,0.001727
750041,120,0,0,1,0,0.001727
750042,120,0,0,1,0,0.001727
750043,120,0,0,1,0,0.001727
750044,120,0,0,1,0,0.001727
750045,120,0,0,1,0,0.001727
750046,120,0,0,1,0,0.001727
750047,120,0,0,1,0,0.001727
750048,120,0,0,1,0,0.001727
750049,120,0,0,1,0,0.001727
750050,120,0,0,1,0,0.001727
750051,120,0,0,1,0,0.001727
750052,120,0,0,1,0,0.001727
750053,120,0,0,1,0,0.001727
750054,120,0,0,1,0,0.001727
750055,120,0,0,1,0,0.001727
750056,120,0,0,1,0,0.001727
750057,120,0,0,1,0,0.001727
